Site_Name,Latitude,Longitude,PM25_Mean,PM25_Std,Data_Count,PM25_Min,PM25_Max,PM25_Predicted,Absolute_Error,Error_Percent
4TH DISTRICT COURT,41.8728971999587,-87.8258724913966,51.91602887122353,5.747019181532431,27,42.166666666666664,66.25806451612904,52.03573045284613,0.11970158162259992,0.2305676767372112
COM ED MAINTENANCE BLDG,41.7513999786378,-87.7134881520007,46.80606850067244,8.189155461736595,168,23.72222222222222,87.53333333333333,46.298324812385566,0.5077436882868724,1.0847817485025002
GRAVES ES,41.7827660079251,-87.8053767946675,45.088119658637865,7.022751718510935,126,22.466666666666665,69.0,47.36772169867526,2.279602040037396,5.055881809435085
IEPA TRAILER,41.9651934814238,-87.8762647334973,48.11705917414843,7.247496106203053,126,29.457142857142856,74.70769230769231,52.265450290230184,4.148391116081754,8.621456064194662
Kingery Near Road #1,41.5786196210494,-87.5574060746384,47.46880286528157,7.396097104550257,70,31.233333333333334,81.75,46.507708365185955,0.9610945000956121,2.0246866195956916
LIBERTY SCHOOL,41.8644264230095,-87.7489023825124,45.67973643765311,7.651865410556416,136,28.56,78.06060606060606,45.16595779778708,0.5137786398660324,1.1247408149284603
MAYFAIR PUMP STATION,41.9654848301767,-87.7499280553202,44.68122085741134,6.771593977820252,126,23.3,67.57142857142857,49.85712042997547,5.175899572564127,11.584060312679645
NORTHBROOK WATER PLANT,42.139996190948,-87.7992269168431,42.981315392524564,8.028486805357057,168,25.275,77.20588235294117,46.14685707224694,3.1655416797223737,7.3649250861990465
REGIONAL OFFICE BUILDING,42.0602846910538,-87.8632254343829,44.09886644669949,7.544170205800962,119,25.266666666666666,80.75,43.274293017614546,0.8245734290849427,1.8698290807124738
SPRINGFIELD PUMP STATION,41.912739,-87.722673,46.982316377542894,7.365362096819498,167,25.514285714285716,76.45714285714286,48.47298375430985,1.4906673767669574,3.1728264838799696
VILLAGE GARAGE,41.6709918952829,-87.7324568962847,46.14619260000618,7.467055958732235,168,28.057142857142857,69.94285714285714,44.827957711962036,1.3182348880441452,2.8566493003454605
VILLAGE HALL,41.80118,-87.832349,47.71150462585464,6.815904461770768,125,31.566666666666663,72.86666666666666,45.995005549074996,1.716499076779641,3.5976628493277034
WASHINGTON HS,41.6871654376343,-87.5393154841479,45.96821789287283,7.625160612036934,152,24.4,70.9,46.81061657474751,0.842398681874684,1.8325676314836958
