Layer,Name,GEOID,Population,Longitude,Latitude,PMC_2011,PMC_2012,PMC_2013,PMC_2014,PMC_2015,PMC_2016,PMC_2017,PMC_2018,PMC_2019,PMC_2020
Census tract,Tract 101,17031010100,4905,-87.6698301,42.0212553,11.829816,11.44936503,10.98243425,12.47928466,9.380204372,8.925616438,9.705475342,9.705475342,9.28303589,8.608972404
Census tract,Tract 102.01,17031010201,6939,-87.6801484,42.0160077,11.870098,11.50720847,11.01797671,12.52408301,9.424335246,8.983681918,9.765346575,9.765346575,9.349178356,8.654188251
Census tract,Tract 102.02,17031010202,2742,-87.6733256,42.0160476,11.8642,11.4942582,11.01894521,12.51322548,9.401261475,8.961653699,9.739892603,9.739892603,9.325459726,8.641408743
Census tract,Tract 103,17031010300,6305,-87.6665393,42.0159431,11.870885827508316,11.482902891865756,11.000377729015678,12.50242939193982,9.389404796730833,8.940143350096182,9.723166984083699,9.723149041,9.307220274,8.626913115
Census tract,Tract 104,17031010400,5079,-87.6588157,42.0064109,11.947855,11.52160109,11.06329671,12.55694329,9.426714754,8.96957863,9.745669863,9.745669863,9.338973425,8.653578689
Census tract,Tract 105.01,17031010501,4206,-87.6639583,42.0094119,11.914476,11.5161929,11.04699096,12.51817151,9.41255929,8.965191507,9.749343014,9.749343014,9.333871233,8.652951366
Census tract,Tract 105.02,17031010502,3278,-87.6633273,42.0045173,11.951776,11.53595683,11.07463863,12.54938658,9.433186339,8.982197534,9.765561096,9.765561096,9.360226301,8.675446448
Census tract,Tract 105.03,17031010503,2565,-87.6631262,42.0003207,11.995057,11.56363443,11.09446329,12.57995233,9.444618033,9.002838356,9.79476274,9.79476274,9.388193150684932,8.691851639
Census tract,Tract 106,17031010600,6225,-87.667683,42.0062774,11.937037,11.54211585,11.07113781,12.54666164,9.441720219,8.992060274,9.77421863,9.77421863,9.367749589,8.67944071
Census tract,Tract 107.01,17031010701,3673,-87.6786204,42.0091482,11.924988,11.54981858,11.06484411,12.54681041,9.450548087,9.006953151,9.796614795,9.796614795,9.388590137,8.687143169
Census tract,Tract 107.02,17031010702,4776,-87.6727257,42.0090199,11.916273,11.53112787,11.05682466,12.54052521,9.432505191,8.998200274,9.776560548,9.776560548,9.372287123,8.676306831
