Local Site Name,Month_Year,monthly_value,Site Latitude,Site Longitude,pollutant
COM ED MAINTENANCE AREA,2011-01,8.161290322580646,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-02,8.0,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-03,5.451612903225806,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-04,7.88,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-05,8.580645161290322,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-06,10.066666666666666,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-07,11.666666666666666,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-08,11.483870967741936,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-09,9.666666666666666,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-10,12.451612903225806,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-11,8.366666666666667,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2011-12,5.0,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2012-02,8.148148148148149,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2012-03,8.35483870967742,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2012-04,7.166666666666667,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2012-05,8.0,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2012-07,8.210526315789474,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2012-08,6.290322580645161,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2012-09,6.190476190476191,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2012-11,7.433333333333334,41.8721168410596,-87.8290802510295,co
COM ED MAINTENANCE AREA,2012-12,6.038461538461538,41.8721168410596,-87.8290802510295,co
COOK COUNTY TRAILER,2011-01,5.516129032258065,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-02,6.035714285714286,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-03,6.032258064516129,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-04,6.133333333333334,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-05,5.67741935483871,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-06,5.366666666666666,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-07,5.258064516129032,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-08,6.419354838709677,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-09,6.233333333333333,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-10,6.451612903225806,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-11,4.6,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2011-12,6.0,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-01,9.193548387096774,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-02,6.827586206896552,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-03,5.548387096774194,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-04,4.866666666666666,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-05,6.645161290322581,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-06,4.9,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-07,3.4516129032258065,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-08,3.3225806451612905,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-09,5.366666666666666,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-10,4.225806451612903,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-11,6.833333333333333,41.8552431328191,-87.7524696987102,co
COOK COUNTY TRAILER,2012-12,5.774193548387097,41.8552431328191,-87.7524696987102,co
CTA BUILDING,2011-01,6.774193548387097,41.877682,-87.635027,co
CTA BUILDING,2011-02,6.5,41.877682,-87.635027,co
CTA BUILDING,2011-03,5.838709677419355,41.877682,-87.635027,co
CTA BUILDING,2011-04,6.2,41.877682,-87.635027,co
CTA BUILDING,2011-05,6.645161290322581,41.877682,-87.635027,co
CTA BUILDING,2011-06,6.433333333333334,41.877682,-87.635027,co
CTA BUILDING,2011-07,6.354838709677419,41.877682,-87.635027,co
CTA BUILDING,2011-08,5.096774193548387,41.877682,-87.635027,co
CTA BUILDING,2011-09,7.433333333333334,41.877682,-87.635027,co
CTA BUILDING,2011-10,7.419354838709677,41.877682,-87.635027,co
CTA BUILDING,2011-11,6.666666666666667,41.877682,-87.635027,co
CTA BUILDING,2011-12,6.032258064516129,41.877682,-87.635027,co
CTA BUILDING,2012-01,7.516129032258065,41.877682,-87.635027,co
CTA BUILDING,2012-02,6.310344827586207,41.877682,-87.635027,co
CTA BUILDING,2012-03,5.935483870967742,41.877682,-87.635027,co
CTA BUILDING,2012-04,4.9,41.877682,-87.635027,co
CTA BUILDING,2012-05,5.967741935483871,41.877682,-87.635027,co
CTA BUILDING,2012-06,6.4,41.877682,-87.635027,co
CTA BUILDING,2012-07,6.258064516129032,41.877682,-87.635027,co
CTA BUILDING,2012-08,4.967741935483871,41.877682,-87.635027,co
CTA BUILDING,2012-09,6.133333333333334,41.877682,-87.635027,co
CTA BUILDING,2012-10,6.387096774193548,41.877682,-87.635027,co
CTA BUILDING,2012-11,7.333333333333333,41.877682,-87.635027,co
CTA BUILDING,2012-12,5.903225806451613,41.877682,-87.635027,co
IEPA TRAILER,2011-01,6.806451612903226,41.9651934814238,-87.8762647334973,co
IEPA TRAILER,2011-02,6.214285714285714,41.9651934814238,-87.8762647334973,co
IEPA TRAILER,2011-03,6.161290322580645,41.9651934814238,-87.8762647334973,co
IEPA TRAILER,2011-04,6.366666666666666,41.9651934814238,-87.8762647334973,co
IEPA TRAILER,2011-05,6.32258064516129,41.9651934814238,-87.8762647334973,co
IEPA TRAILER,2011-06,6.633333333333334,41.9651934814238,-87.8762647334973,co
IEPA TRAILER,2011-07,6.387096774193548,41.9651934814238,-87.8762647334973,co
IEPA TRAILER,2011-08,5.967741935483871,41.9651934814238,-87.8762647334973,co
