Local Site Name,Month_Year,Site Latitude,Site Longitude,CO,NO,PM10,PM2.5,SO2
4TH DISTRICT COURT,2011-01,41.8728971999587,-87.8258724913966,,,,57.87096774193548,
4TH DISTRICT COURT,2011-02,41.8728971999587,-87.8258724913966,,,,52.44,
4TH DISTRICT COURT,2011-03,41.8728971999587,-87.8258724913966,,,,49.064516129032256,
4TH DISTRICT COURT,2011-04,41.8728971999587,-87.8258724913966,,,,51.44827586206897,
4TH DISTRICT COURT,2011-05,41.8728971999587,-87.8258724913966,,,,53.935483870967744,
4TH DISTRICT COURT,2011-06,41.8728971999587,-87.8258724913966,,,,59.827586206896555,
4TH DISTRICT COURT,2011-07,41.8728971999587,-87.8258724913966,,,,66.25806451612904,
4TH DISTRICT COURT,2011-08,41.8728971999587,-87.8258724913966,,,,58.774193548387096,
4TH DISTRICT COURT,2011-09,41.8728971999587,-87.8258724913966,,,,48.6,
4TH DISTRICT COURT,2011-10,41.8728971999587,-87.8258724913966,,,,49.53333333333333,
4TH DISTRICT COURT,2011-11,41.8728971999587,-87.8258724913966,,,,49.41379310344828,
4TH DISTRICT COURT,2011-12,41.8728971999587,-87.8258724913966,,,,48.54838709677419,
4TH DISTRICT COURT,2012-01,41.8728971999587,-87.8258724913966,,,,49.70967741935484,
4TH DISTRICT COURT,2012-02,41.8728971999587,-87.8258724913966,,,,47.96551724137931,
4TH DISTRICT COURT,2012-03,41.8728971999587,-87.8258724913966,,,,49.89655172413793,
4TH DISTRICT COURT,2012-04,41.8728971999587,-87.8258724913966,,,,44.96666666666667,
4TH DISTRICT COURT,2012-05,41.8728971999587,-87.8258724913966,,,,54.67741935483871,
4TH DISTRICT COURT,2012-06,41.8728971999587,-87.8258724913966,,,,56.46153846153846,
4TH DISTRICT COURT,2012-07,41.8728971999587,-87.8258724913966,,,,58.774193548387096,
4TH DISTRICT COURT,2012-08,41.8728971999587,-87.8258724913966,,,,58.06896551724138,
4TH DISTRICT COURT,2012-09,41.8728971999587,-87.8258724913966,,,,53.4,
4TH DISTRICT COURT,2012-10,41.8728971999587,-87.8258724913966,,,,42.62068965517241,
4TH DISTRICT COURT,2012-11,41.8728971999587,-87.8258724913966,,,,55.333333333333336,
4TH DISTRICT COURT,2012-12,41.8728971999587,-87.8258724913966,,,,48.483870967741936,
4TH DISTRICT COURT,2013-01,41.8728971999587,-87.8258724913966,,,,44.064516129032256,
4TH DISTRICT COURT,2013-02,41.8728971999587,-87.8258724913966,,,,49.42857142857143,
4TH DISTRICT COURT,2013-03,41.8728971999587,-87.8258724913966,,,,42.166666666666664,
COM ED MAINTENANCE AREA,2011-01,41.8721168410596,-87.8290802510295,8.161290322580646,,,,
COM ED MAINTENANCE AREA,2011-02,41.8721168410596,-87.8290802510295,8.0,,,,
COM ED MAINTENANCE AREA,2011-03,41.8721168410596,-87.8290802510295,5.451612903225806,,,,
COM ED MAINTENANCE AREA,2011-04,41.8721168410596,-87.8290802510295,7.88,,,,
COM ED MAINTENANCE AREA,2011-05,41.8721168410596,-87.8290802510295,8.580645161290322,,,,
COM ED MAINTENANCE AREA,2011-06,41.8721168410596,-87.8290802510295,10.066666666666666,,,,
COM ED MAINTENANCE AREA,2011-07,41.8721168410596,-87.8290802510295,11.666666666666666,,,,
COM ED MAINTENANCE AREA,2011-08,41.8721168410596,-87.8290802510295,11.483870967741936,,,,
COM ED MAINTENANCE AREA,2011-09,41.8721168410596,-87.8290802510295,9.666666666666666,,,,
COM ED MAINTENANCE AREA,2011-10,41.8721168410596,-87.8290802510295,12.451612903225806,,,,
COM ED MAINTENANCE AREA,2011-11,41.8721168410596,-87.8290802510295,8.366666666666667,,,,
COM ED MAINTENANCE AREA,2011-12,41.8721168410596,-87.8290802510295,5.0,,,,
COM ED MAINTENANCE AREA,2012-02,41.8721168410596,-87.8290802510295,8.148148148148149,,,,
COM ED MAINTENANCE AREA,2012-03,41.8721168410596,-87.8290802510295,8.35483870967742,,,,
COM ED MAINTENANCE AREA,2012-04,41.8721168410596,-87.8290802510295,7.166666666666667,,,,
COM ED MAINTENANCE AREA,2012-05,41.8721168410596,-87.8290802510295,8.0,,,,
COM ED MAINTENANCE AREA,2012-07,41.8721168410596,-87.8290802510295,8.210526315789474,,,,
COM ED MAINTENANCE AREA,2012-08,41.8721168410596,-87.8290802510295,6.290322580645161,,,,
COM ED MAINTENANCE AREA,2012-09,41.8721168410596,-87.8290802510295,6.190476190476191,,,,
COM ED MAINTENANCE AREA,2012-11,41.8721168410596,-87.8290802510295,7.433333333333334,,,,
COM ED MAINTENANCE AREA,2012-12,41.8721168410596,-87.8290802510295,6.038461538461538,,,,
COM ED MAINTENANCE BLDG,2011-01,41.7513999786378,-87.7134881520007,,34.0,,57.07692307692308,9.516129032258064
COM ED MAINTENANCE BLDG,2011-02,41.7513999786378,-87.7134881520007,,38.17857142857143,,48.51428571428571,9.25
COM ED MAINTENANCE BLDG,2011-03,41.7513999786378,-87.7134881520007,,32.58064516129032,,50.4,6.838709677419355
COM ED MAINTENANCE BLDG,2011-04,41.7513999786378,-87.7134881520007,,30.133333333333333,,54.6578947368421,6.266666666666667
COM ED MAINTENANCE BLDG,2011-05,41.7513999786378,-87.7134881520007,,27.838709677419356,,51.51282051282051,8.806451612903226
COM ED MAINTENANCE BLDG,2011-06,41.7513999786378,-87.7134881520007,,27.066666666666663,,61.30769230769231,7.033333333333333
COM ED MAINTENANCE BLDG,2011-07,41.7513999786378,-87.7134881520007,,30.1,,64.3157894736842,11.0
COM ED MAINTENANCE BLDG,2011-08,41.7513999786378,-87.7134881520007,,30.3,,55.0,10.258064516129032
COM ED MAINTENANCE BLDG,2011-09,41.7513999786378,-87.7134881520007,,23.833333333333332,,46.8235294117647,10.7
COM ED MAINTENANCE BLDG,2011-10,41.7513999786378,-87.7134881520007,,34.54838709677419,,54.69230769230769,9.870967741935484
COM ED MAINTENANCE BLDG,2011-11,41.7513999786378,-87.7134881520007,,24.925925925925927,,53.63157894736842,6.666666666666667
COM ED MAINTENANCE BLDG,2011-12,41.7513999786378,-87.7134881520007,,28.35483870967742,,54.8974358974359,9.64516129032258
COM ED MAINTENANCE BLDG,2012-01,41.7513999786378,-87.7134881520007,,35.645161290322584,,53.26470588235294,13.451612903225806
COM ED MAINTENANCE BLDG,2012-02,41.7513999786378,-87.7134881520007,,33.3448275862069,,56.44,7.172413793103448
COM ED MAINTENANCE BLDG,2012-03,41.7513999786378,-87.7134881520007,,25.806451612903224,,46.76923076923077,6.354838709677419
COM ED MAINTENANCE BLDG,2012-04,41.7513999786378,-87.7134881520007,,30.142857142857142,,45.473684210526315,3.3
COM ED MAINTENANCE BLDG,2012-05,41.7513999786378,-87.7134881520007,,29.516129032258064,,55.025,4.741935483870968
COM ED MAINTENANCE BLDG,2012-06,41.7513999786378,-87.7134881520007,,25.2,,55.47222222222222,4.625
