Local Site Name,Month_Year,monthly_value,Site Latitude,Site Longitude,pollutant
NORTHBROOK WATER PLANT,2011-01,15.0,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-02,6.6,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-03,8.6,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-04,15.666666666666666,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-05,10.2,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-06,11.0,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-07,14.6,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-08,17.833333333333332,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-09,9.2,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-10,18.4,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-11,12.25,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2011-12,7.2,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-01,12.0,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-02,9.6,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-03,16.0,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-04,13.5,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-05,16.0,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-06,13.0,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-07,17.6,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-08,21.0,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-09,14.6,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-10,14.6,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-11,23.8,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2012-12,20.25,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-01,14.333333333333334,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-02,9.3,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-03,7.9,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-04,14.1,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-05,14.222222222222221,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-06,17.714285714285715,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-07,16.7,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-08,15.571428571428571,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-09,15.25,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-10,13.818181818181818,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-11,9.6,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2013-12,21.7,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2014-01,14.571428571428571,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2014-02,15.0,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2014-03,17.4,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2014-04,16.571428571428573,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2014-05,18.1,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2014-06,13.333333333333334,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2014-07,13.545454545454545,42.139996190948,-87.7992269168431,pm10
NORTHBROOK WATER PLANT,2014-08,17.2,42.139996190948,-87.7992269168431,pm10
